,mat_data_range,strike,interest,divident,kappa_,rho_,theta_,v_0,ita_,heston_price,checkPrice,condition
686,348.0,1.5768290913214833,0.01860036373172124,0.03670042211711038,2.1111277503808763,-0.6318823169957859,0.06227734779031745,0.01908552226819328,0.011993346801469918,-0.01490023402242278,2.9518439326987954e-06,1.0
1276,347.0,1.4620769238379543,0.023390606017490143,0.047249701312325997,1.7692527980965602,-0.7371794767702671,0.053297983730987764,0.04063627109759548,0.03545237846894145,-1.6714283026767562,0.08007901210862634,1.0
2734,334.0,1.5650462747606009,0.02321587067744564,0.03990507961463383,1.7651587506954032,-0.7657571474712305,0.058888283760693175,0.010603685060074109,0.020082555567719557,-0.013251971304706279,1.1681082269854109e-06,1.0
3368,346.0,1.5831603865166723,0.02475598738256572,0.003582881858460169,2.1443205945003414,-0.6457012153665547,0.06981847100120331,0.019983288399631646,0.021934601716179128,-8.804306379404242e-05,0.0007052716073684302,1.0
4602,342.0,1.4850099009664368,0.017135357020896885,0.03929895871242258,1.5790389588888134,-0.8092344464441261,0.06213038366151004,0.018593616961983257,0.01467590955348459,-0.006420285678403041,3.0951402574605144e-05,1.0
5158,332.0,1.4000525688828795,0.019351165194029383,0.0018323368696272105,1.4180333396266231,-0.6908198136626548,0.05357950597172992,0.05190978863452348,0.028120951284654718,-0.037149381395069625,0.34529230878141437,1.0
6104,351.0,1.5895234017718998,0.015551228376640898,0.03947053850042135,1.7989321433723875,-0.8263538294633921,0.06336132448255853,0.0268616306109495,0.026436271667002825,-7.509369865391774e-05,0.0005871975202312273,1.0
8076,339.0,1.5830677903540833,0.02109236586022363,0.04899416987536362,2.296139714257937,-0.673865440320241,0.07008205913788787,0.021514383799528188,0.01283613001161283,-6.065537973305123e-06,2.2533948316805815e-06,1.0
9542,330.0,1.5956448716712464,0.01858969392801225,0.038031821609072466,2.4096121125908887,-0.6534146044454232,0.07463425447857072,0.01687975282517984,0.0156758366107096,-6.705487493030927e-06,1.6462856989921375e-06,1.0
10815,351.0,1.5799217368324316,0.018237243800526645,0.04789884988780063,1.9615378187701509,-0.6519254110948449,0.046355805550444634,0.017275333913011268,0.0277991576563504,-0.00024630269159791116,0.0006910681926672324,1.0
11607,351.0,1.536521063951676,0.02125136418214576,0.026999859701461654,1.5001221607965567,-0.7066900424280812,0.06865294407850447,0.010541199218206622,0.020398440969202698,-0.0030551114107963467,8.092339965392226e-06,1.0
11653,350.0,1.5877002728359342,0.01992178600477616,0.04619165950765101,1.9042588276214172,-0.5675889491197184,0.05022958872919602,0.011760069977193614,0.03228435320031589,-0.00013040807306839014,0.0007127541133172058,1.0
12527,357.0,1.53800396268318,0.02435298196710079,0.019080568135089862,2.0385398895900013,-0.8252433135654649,0.06046624790652979,0.012911434153866828,0.02540444356153064,-0.00013348172919350548,0.0005144414093105343,1.0
13896,336.0,1.5527986071089264,0.019719488281950377,0.04928006792717986,2.1680893600039317,-0.6731740819584261,0.07213372121586893,0.011718048919592685,0.010674997476640415,-5.2176006369195085e-09,4.0906139589350844e-09,1.0
15801,343.0,1.5586197834214979,0.016101542915225642,0.02396990254289813,1.6721903434895533,-0.7491219196840804,0.05955872434686524,0.01489993322963517,0.017403724570918273,-0.010847103285932651,4.960456647551566e-06,1.0
15918,333.0,1.582020331049741,0.016032431169103408,0.023518931183164046,1.513316803025388,-0.8221467870243014,0.07275657672179928,0.025541083730235226,0.01018664069242908,-3.18661360135242e-08,4.1692913598579865e-07,1.0
16984,336.0,1.4580521059397045,0.01871296927977787,0.01310207465612004,2.4110455021620036,-0.7845823002336326,0.05633071410386078,0.010848216081824215,0.010812799443291887,-0.010332196897874214,2.8502422897339454e-06,1.0
17163,343.0,1.5937016501241639,0.017136766430767756,0.027341204708732345,2.2954364970237884,-0.6984243761814231,0.05011694071209245,0.010622310637773576,0.014969186027320875,-0.019603617803056327,4.611597144307282e-07,1.0
17524,359.0,1.5582290421700191,0.015318144922365863,0.029310582320864337,2.5697128111449,-0.7413805328880378,0.06699915654136268,0.01532068467534303,0.01277539295012816,-4.919670539066666e-06,7.074771685485214e-07,1.0
17740,347.0,1.4327601428849732,0.02104849105437805,0.049723715112488416,1.4710665918183634,-0.6922366119947462,0.057892976837196825,0.061994139543285975,0.028076511135003774,-0.6624086409359728,0.2071600697408167,1.0
17991,331.0,1.4009430888297274,0.01866360697686945,0.049065379750114484,1.6817281976188507,-0.7236163792840443,0.06724842286863181,0.021702149355344872,0.0456914719869342,-1.5573837383791032,0.0723243407181493,1.0
18600,341.0,1.5904548529240752,0.020987215603588717,0.047996949191068686,1.4059276484684342,-0.6429345444509782,0.06852817114423093,0.028892637266791945,0.012559919689823236,-0.0028005503003461323,6.800892644368006e-05,1.0
19305,357.0,1.5954490044468312,0.017915274428875697,0.03919808667521457,2.278073786424637,-0.6876406828238418,0.06836807284175825,0.016985892050766768,0.016444650247060526,-9.819047475181223e-06,3.489883513091023e-06,1.0
20812,350.0,1.5600170729413314,0.019251653066603057,0.04713392346276984,2.3473483383780533,-0.6732969417440947,0.07352007656724224,0.03832934811432104,0.014118461972387144,-0.00016628662108755451,0.000453322213196352,1.0
22239,346.0,1.5790316681824432,0.023684991148571442,0.03141892841844595,2.583602723407231,-0.5709330328654912,0.05856594304951315,0.01030069050755931,0.014318173117136956,-1.1359824670519314e-05,1.0953919597067997e-06,1.0
22305,339.0,1.5856841244672937,0.01638034272315891,0.005482797801684142,1.4577333215513502,-0.7991642040143248,0.07402612833102519,0.01290445559206397,0.01991206003011996,-0.0019024173239156493,4.5155043362783535e-07,1.0
24115,333.0,1.5851162361521198,0.018410887870992328,0.02402308240625965,2.5294808839365794,-0.638689290413508,0.05728667962726351,0.01595287699880504,0.0124506767357632,-5.596790935702355e-06,7.887835386396236e-07,1.0
24325,344.0,1.5561129200363704,0.02332245813879528,0.008794400281399812,1.729411165319182,-0.7700205620811915,0.04681395568924485,0.021184692228567743,0.011150679065507506,-0.002753917955355298,3.269112271965481e-05,1.0
24348,356.0,1.4316791435107374,0.01986471420666851,0.024155727963335927,1.719132097820128,-0.8301815247293015,0.05091402320533105,0.013517193683643602,0.011840309631410523,-0.000420953646665256,5.90010776362177e-05,1.0
25224,331.0,1.5872632878802144,0.017961548913505234,0.02840029079229081,1.7145300302908406,-0.7048045223992279,0.04577803942091629,0.022623579462519642,0.014397585341687532,-0.012841105548023705,3.7002527031699704e-05,1.0
25567,344.0,1.4434679693191392,0.016699083464149674,0.03534808238683323,2.3862779528081557,-0.5529624305772851,0.05757876605869526,0.010282619654828486,0.03670882661635225,-3.332959928150318,0.026354931537004855,1.0
26475,337.0,1.5356403043725575,0.015769199711949757,0.011491211980224198,2.331919130172846,-0.7905280661922423,0.07194144853764059,0.03726184934680638,0.012266089805752152,-2.691525022910368e-05,0.0005618381629883297,1.0
27185,343.0,1.549214539668459,0.024483147103359585,0.033803609341306134,1.5338981340584728,-0.8411937642831957,0.05652313715455853,0.01819365886000369,0.015357303085382315,-0.002034079846480694,2.646248520959862e-06,1.0
27685,332.0,1.576886208555316,0.022183182263008076,0.011020534935770815,2.403999407477964,-0.7857738568838101,0.05041201143321227,0.010502710919542529,0.01628496308390624,-7.836668093652013e-06,1.9864932047953274e-06,1.0
28386,334.0,1.5458085958912409,0.022096221982795608,0.01567204796134419,1.7092864554430818,-0.7455961046809302,0.04902027639091546,0.05489291880274416,0.03321627049489638,-1.8671719130519089,0.0875108051222182,1.0
28906,341.0,1.4814394969696578,0.015824534322053368,0.017239985417851246,1.663844632575711,-0.5884856528016069,0.05065044585411513,0.05865241964904318,0.02722027338329949,-1.21750316492161,0.16462786645858385,1.0
29089,358.0,1.5812408773019275,0.01820732812272513,0.048559239620461374,2.0163981835314235,-0.7838287532655349,0.07268065599983807,0.026445528546895324,0.014387262122846332,-6.523916113671446e-06,4.707568875855555e-06,1.0
29478,339.0,1.2723605936144684,0.0165624337049049,0.02840580334697645,2.263197108004381,-0.5583666743595712,0.0485870392332889,0.032226160011203896,0.01748061524348802,-0.38300485425283215,0.22730369183397148,1.0
30166,334.0,1.5681506760281383,0.01887499818625667,0.018285490654825817,1.5125718666337764,-0.5914288026460932,0.05587059696538136,0.013283897228359804,0.0211501774651509,-0.012256951573269163,4.702428354784981e-05,1.0
30325,346.0,1.3740096689712629,0.024390364041321142,0.04769308097807296,1.6875449726237972,-0.7438146718271963,0.0725325892662842,0.02453772123987624,0.03890703032000608,-0.9055980089864206,0.098389236022846,1.0
31378,343.0,1.5595864882352035,0.017290874683910367,0.0018046200407845442,2.3606540164652263,-0.7176397384236051,0.0749711181312038,0.012915751852051105,0.01192352687425684,-0.012367394661146705,2.0266196376145717e-07,1.0
31477,331.0,1.4912865495745533,0.02428618221397307,0.012359010130492721,2.393307324301624,-0.6490599336841778,0.058188637637419376,0.04684443783261923,0.022237660181781086,-2.4220131856509592,0.0454424592081305,1.0
32552,358.0,1.5706226648602404,0.015107418549146547,0.025668018990102463,2.363297064095625,-0.5944987360986451,0.06626338422574407,0.019966841419983915,0.038468497407323485,-4.15713186965862,0.012272432697947144,1.0
33100,356.0,1.5685142116284072,0.023959751719569974,0.00866930259880793,1.7146995503331457,-0.5614216931721274,0.06989861747398382,0.01983237987837084,0.012142977298299641,-0.0029068785477039862,7.052316750805502e-05,1.0
33330,353.0,1.5221780565486591,0.02041176418328801,0.039496919471798564,1.942278105473382,-0.5911163495738305,0.04581062134213998,0.016714331431140608,0.013202344369873123,-0.013255757753702756,5.138446737870889e-05,1.0
33347,348.0,1.5195687507049,0.022027704884734232,0.03105527788486762,2.135487466668505,-0.7536615247278469,0.0708037257104665,0.02015984262613897,0.02108051130825905,-0.00021582262400978922,0.00046282619544580836,1.0
34446,332.0,1.5865148595491545,0.0242558784234968,0.009010218714487563,1.9699570616848967,-0.7951501237033409,0.05692064748528052,0.02160102399852009,0.047545167010762855,-3.3899318547012345,0.021198515340961843,1.0
34619,335.0,1.5659195215487245,0.02315621330714366,0.046205635879550316,2.060738319612224,-0.7833637312128848,0.05836559707982756,0.011280277687900348,0.02933766871069826,-0.000769413168928661,0.0001217724816567102,1.0
35138,333.0,1.3026803187940228,0.02254381959707445,0.04339426055970212,2.2721605219029177,-0.6518109586541138,0.04938240525439408,0.024779442125868432,0.023707857126186817,-1.0447388457892437,0.13153106126173109,1.0
35949,343.0,1.5863408754349249,0.0237323446757929,0.048488464050140345,1.9543716816155696,-0.7463231668750995,0.0561615179727237,0.012133003437193576,0.02019211122254478,-4.470484560009187e-06,2.504268669031238e-06,1.0
36848,352.0,1.5582540687291597,0.01956102111859713,0.04451452026162375,2.5693496389435295,-0.8344599331990472,0.0582852914003205,0.022840129829752732,0.010886667824840915,-2.5516994244025805e-06,1.0489402457729172e-06,1.0
36897,358.0,1.5868158490057973,0.024821232069152568,0.03085849019610652,2.181488279463,-0.7825731926778793,0.06994922111332519,0.0318693445697243,0.017574705795870667,-0.0002972711011695883,0.00044053245555332465,1.0
37696,341.0,1.5483496710170297,0.02162188750002711,0.03467787411577844,1.7694419158943333,-0.5721095584475071,0.058684051756437074,0.017931962526423498,0.054564206855056994,-3.177019107074567,0.034061850426749474,1.0
38902,356.0,1.5733186288976562,0.020265789407749125,0.01982121900898268,2.584139021569372,-0.5708837191146499,0.0570478927645298,0.011277862761818429,0.01208127220054464,-0.01699679797996112,1.020535782063925e-06,1.0
