,mat_data_range,strike,interest,divident,kappa_,rho_,theta_,v_0,ita_,heston_price,predict_Y
2181,350.0,0.5130813521413119,0.01681156003153525,0.03952162867222669,1.6930582254428597,-0.7556688065826727,0.6857126556818645,0.0833419838555714,0.051629789165313536,38.48471478589614,46.869053
4558,343.0,0.7237110841042615,0.01782978269755424,0.045360404063227014,1.6904435089702186,-0.7870066654454698,0.5239066894410039,0.04476183662225342,0.024953665142650808,17.058296751067314,25.08022
7792,349.0,0.5595540044580316,0.017281953392034383,0.015960423380078432,2.3443590556550418,-0.6033238950700743,0.5836438141606918,0.02983916676207252,0.053930970263906565,58.55958845267211,43.93081
12745,354.0,0.5762585267246526,0.020001748251416582,0.0065173206871170465,1.9114843208744672,-0.6763199172013481,0.5106121045561066,0.0869649017700193,0.03499806423367712,56.89971844481572,43.830933
13037,350.0,0.5372111093793459,0.015744701015606998,0.03178858563183624,1.923557448944528,-0.6503328783093598,0.5388463778970318,0.09046190304845796,0.03830797426803519,58.14398850202565,44.905247
13632,332.0,0.5601536078387408,0.01864566890761972,0.033584217005102564,1.6790679246837907,-0.6627715882096025,0.5254326921407275,0.040073550146905855,0.06798782542083011,35.313827508277456,42.593674
13786,330.0,0.5859391926196015,0.016972190797680343,0.0294326892053956,2.4124879257929117,-0.6990814337865052,0.5353496087366898,0.04029579161619938,0.044707398854846016,54.65650572373666,40.008537
13942,338.0,0.5133347750462888,0.02281530262271727,0.0008336950816030142,1.6486930892650988,-0.7527642895443248,0.6218770700696744,0.02753923135670241,0.0959819119361547,42.247740985188244,50.4944
14864,348.0,0.5686593746861576,0.01734903853430398,0.008391325373087177,1.658925856391518,-0.7206557332671019,0.5807647795946694,0.030618485221657395,0.07713102062326538,58.9395178974706,44.167713
15808,333.0,0.6251718055838652,0.02463117680093918,0.02810685026317541,2.2078524679785048,-0.7066255061739948,0.5166100308637117,0.02776837068292917,0.0458324210893892,28.707616031004605,36.659424
16633,349.0,0.5508257452455022,0.024457757611431263,0.00971540124585859,2.432416073857982,-0.7621362939465649,0.5229596369941467,0.06736396853654107,0.04033119979000386,61.50230190608057,46.054565
16708,336.0,0.5842695685518109,0.02388543069751875,0.03237240302250995,1.7464587188504466,-0.6297144714087691,0.6960281017847679,0.040148507490535515,0.0594637819687145,32.34155169352737,40.795776
18199,338.0,0.6190186786802045,0.015507399662126897,0.04244995323270255,2.213184951255232,-0.6586372866008354,0.5592714802623261,0.07631070314506908,0.02087210160599025,28.115358127052158,35.401062
19005,331.0,0.6615344499198144,0.017031075115753837,0.003947271818337396,2.1253625587501372,-0.6317441510944467,0.6096452134853614,0.03231817373798428,0.04212614484388908,48.67370893835739,34.911884
19908,338.0,0.6722359051223363,0.021190232378537108,0.038172994759117854,2.380764701455273,-0.6563805842324834,0.6586601321860098,0.055317489784451376,0.020574181753712933,22.441620567742575,30.734226
20313,339.0,0.5017812488685409,0.02179927366360811,0.019828319272779383,1.9851503274794855,-0.6245964207894124,0.6534287956366673,0.030173582452262118,0.07695551444019,41.7805709881024,49.609222
20380,346.0,0.6028888300256694,0.02279727148769996,0.031313300351492296,2.0610680605789136,-0.6235168464755005,0.5356050924725617,0.08206234832414723,0.024032070647794883,31.650185571022625,38.809017
20523,346.0,0.5711094840652171,0.02481127774707402,0.04624019321007372,1.7146423816141882,-0.6655480624226919,0.6277478180202236,0.030182681467948582,0.0695239550610599,54.739201606705635,40.82634
22314,335.0,0.6505812779976035,0.017719700687978214,0.027881899169208,2.4390053443972097,-0.781405538450875,0.6223448623269316,0.05264553502661471,0.026419905856301516,24.454618862346333,33.729813
23482,357.0,0.518663360284355,0.016527044568004853,0.034692238827243184,1.8121973915163263,-0.6219273274221844,0.6902550184606371,0.050837629310362654,0.06560147160912068,61.373591948935356,46.45092
23507,335.0,0.5900874783727684,0.021549560868031413,0.04784978716623742,2.003661261310284,-0.7579049347068317,0.6763706826814417,0.08917424155973283,0.023943379191647844,29.763012460648355,38.84864
25528,334.0,0.7196331412311856,0.01691841255368869,0.01623724958226075,2.291168467420886,-0.6142828177876679,0.6387374005278283,0.026200851273568256,0.029001946438717743,19.612161348809593,27.658657
27085,342.0,0.5739286156529672,0.017717784131923132,0.004312427518288121,2.1346813602236505,-0.7836600895275946,0.6638473411579217,0.09130220490665476,0.030753685326125456,60.97404536918556,44.427017
28837,332.0,0.6322106701802113,0.024243468902068476,0.043586889610147415,2.233669911347075,-0.7388438804653024,0.510597360594674,0.050986992720311736,0.03378726695020495,48.322622999020396,34.433693
29094,331.0,0.6652993480903089,0.01916922665738674,0.033069347842780275,2.094521098322679,-0.6920973975345701,0.5600143617655163,0.02040044465303003,0.04371402447641546,23.779953397517914,31.58488
29839,352.0,0.7445648964619204,0.018475559752279887,0.036888594892804376,1.8300083711786264,-0.6138732426723851,0.5092728410142272,0.026462883819849202,0.028243462712999438,17.48538284927794,23.80893
31957,343.0,0.5083067492457329,0.024540981656147987,0.028588757964583333,1.5498648620039095,-0.6500005146177644,0.6338913770182284,0.08680136887956676,0.06298371373507651,62.93603271854719,48.747337
32717,355.0,0.5233748709431936,0.015743913565965818,0.025938875214211225,1.5320571551863091,-0.7573511583466563,0.5705764646664934,0.06088312793144805,0.0741684171856209,61.7775490362819,46.918156
37358,348.0,0.5097529136253376,0.01542175982875412,0.03552628535950388,2.239783178153716,-0.7146752217686165,0.608647170805113,0.08491163055734259,0.038158966582557206,39.22447626548883,47.10692
37363,343.0,0.548588859313905,0.017589330138844457,0.024024724490496464,2.1331410533611286,-0.7847588934442151,0.5108611401645476,0.056241082175790436,0.04787720665146439,36.44875092421668,44.480873
39606,359.0,0.6164961272847406,0.019864005929056152,0.04025907142859539,1.861040087262248,-0.7933846339476354,0.5977402561871101,0.024808837003431856,0.0553630085859628,51.55298887852851,36.168533
40137,343.0,0.6648746701018132,0.024804300731968272,0.03425477527106526,2.30307103711875,-0.6312047287619227,0.5356703169587413,0.050170250355194144,0.02669806061725441,44.46711095256669,31.995518
40706,333.0,0.6011047861448658,0.01706370467144008,0.04795707055540925,2.3198451162627793,-0.7386806815005366,0.6322228865062673,0.0846753348540438,0.021482775243825858,52.344739035219014,37.04194
40825,340.0,0.5767099019495122,0.02488928348195561,0.046313637395505036,1.9635798674088147,-0.7914637020264101,0.56683976306793,0.0981921188178472,0.025850707816537186,55.10725804067895,40.517113
42616,332.0,0.6537502893818763,0.02324500311423967,0.03667325558067632,2.4084539896228665,-0.7559954462057479,0.5365764787593081,0.042747501916581686,0.03160253981575924,47.42173584899508,32.77623
42692,345.0,0.5383940155725973,0.01592561704236995,0.03806043937504583,1.5225931953586076,-0.7006691709211588,0.5821504290188032,0.04792139398033995,0.07351927286461878,36.685053563839396,44.29709
43189,352.0,0.5767897757071595,0.01886180215886144,0.016538201960347384,1.8291400912855456,-0.7394303313503103,0.6592109978479654,0.04178105001435189,0.06005199593639692,58.52504486662961,42.85571
44789,342.0,0.5430635433174541,0.02271152815469904,0.009904169665207962,1.964811489762736,-0.6034926856972735,0.6102698237809302,0.039176402879529434,0.06340782942729342,38.79927162590647,46.746037
45238,333.0,0.5447874054705424,0.01790139819025826,0.010018181054615456,2.4751963005806785,-0.6664097645841398,0.6513585390704847,0.06645125478974716,0.03920784379752894,37.59749246960021,46.28173
45606,336.0,0.5309433035470743,0.0245981104790456,0.006545172348688833,2.28028598218123,-0.7678411697440509,0.667249181425172,0.04318392058212489,0.058115945764257874,39.276979042079454,48.48993
46117,342.0,0.5676624430207498,0.022241167523433525,0.04729995888268981,2.267279282060879,-0.7246189265683443,0.5263887600421209,0.03645243182669488,0.050372656310192186,54.96591479691859,40.522854
46922,338.0,0.5966944302233704,0.017000734621489263,0.02257490493432177,1.540172513565012,-0.796616329028401,0.533830695508478,0.0588925387193491,0.05404794802570344,31.95430175972825,40.172592
49287,348.0,0.6843743078871434,0.024224883056762767,0.033911786380169805,1.5225754877515456,-0.7036518498695382,0.6626699510819691,0.05677710695624445,0.032323911507397565,44.33754207445647,30.335745
49531,357.0,0.5093459079819439,0.023273427320923697,0.018609110635319847,1.940617215726671,-0.6338448129156218,0.6925247921050106,0.07963703137604858,0.048359216406924116,41.36425101338251,49.36251
49703,346.0,0.6337522773815306,0.01701758255536631,0.00988562635710823,2.067673705406237,-0.6067644114767166,0.5164924975834515,0.03765606284899303,0.04139596286381761,29.890642178975398,37.0494
52469,349.0,0.6388666493194461,0.01590410857579586,0.0008678131479466113,2.262651751130847,-0.6320387881851239,0.6324271862956559,0.06841266515071542,0.023801692383991168,29.26168367103607,37.66236
52800,336.0,0.6355136208341996,0.01734817837959983,0.002240009637224272,2.0672777824351902,-0.6514826972222469,0.6510143481962158,0.05125681914603507,0.038703005482489096,52.421656934327906,38.129738
55362,330.0,0.5438270966431173,0.021550721517460764,0.010695347318848079,1.7305314013473412,-0.6297131472924515,0.5514359043299643,0.08450977456911933,0.05098506159652872,59.849059392641536,46.760857
57354,342.0,0.6534887773601851,0.02031440209741002,0.0033005347959251365,1.6974989125712892,-0.6167381140744936,0.6412272681532896,0.055430050529200636,0.04040868972973751,49.302149763940356,36.378025
60403,337.0,0.5095483471294867,0.02452225030695956,0.028868415407344406,1.5148977575231217,-0.7745687261017475,0.6637711052508506,0.09986901856985538,0.05346188359859677,40.545957943713134,48.819298
60950,335.0,0.669310094626099,0.021518461079934503,0.019245140809271217,2.4107554730537673,-0.7052425961271228,0.693004667839576,0.04864578249306335,0.02717229853749641,48.71548190107158,33.024067
61651,349.0,0.7134634434700576,0.01727872443738484,0.027513254778268957,2.4280092883997115,-0.7367089868549475,0.6575771358464857,0.0427057488614386,0.020473329703055675,42.71385548238507,27.419096
62576,342.0,0.7436706963323022,0.02049294112421868,0.004573187295884629,1.5883645108081372,-0.7280497412840429,0.5067274227087248,0.04709052452910288,0.026980061597959532,19.84900087731232,27.060001
62750,341.0,0.5058817577566067,0.024350888783213943,0.02630734275964371,2.1934002188492743,-0.6092049240583384,0.6888624952620657,0.07727497503093234,0.04824517550059396,64.46948883701268,49.000732
62864,351.0,0.5185140539752248,0.02301582831353749,0.04029687273920956,1.5953926017463116,-0.6783871250518992,0.6156721223197188,0.030357611260520962,0.09001747120730233,60.93800346798822,46.394753
64307,337.0,0.5505068908878011,0.015919850377549952,0.019948109273414838,2.0778668662026174,-0.7282525552419418,0.5546196703107175,0.06438873347238219,0.048454534541726615,59.61507752801421,44.71685
64726,338.0,0.5216694222091989,0.015600834605735654,0.03439239620867232,1.6225070930199832,-0.7188534414279999,0.6538057258301421,0.0888341700942907,0.050018279728649064,38.48503181504212,46.46164
64822,330.0,0.5392155073220528,0.02208343626652114,0.023533243311483442,1.7620863397720754,-0.7964682968184771,0.6142917828172736,0.07427884143563769,0.054081438185789005,37.52561102932218,46.258896
65575,340.0,0.5035394497031309,0.017646844810549844,0.01908883807011472,1.7868132149124931,-0.7717485844121179,0.6339416919304751,0.02048776304463309,0.0955522453883243,66.19522226163389,49.308876
69578,359.0,0.7054762217893917,0.015165911288691191,0.03590493121432988,1.9866725984619915,-0.7626120423689817,0.6410167707851954,0.043125097209338534,0.023939066276461373,18.174071985805824,27.408312
70651,339.0,0.6876849622838539,0.023884358933633137,0.02355897841381264,2.0435365028122017,-0.6462952685876742,0.6613079530066633,0.05881087001428543,0.023086382058910112,44.51471805480559,30.874432
71342,334.0,0.6450794329290136,0.022554037909971715,0.040135030982144236,1.9630713163255344,-0.7430657024405836,0.5168493066465248,0.029488485044423564,0.04565259830158688,25.62417791778265,33.288414
72945,345.0,0.6088138403398503,0.024810764304397975,0.01568724729470955,2.1835467716591093,-0.7587679721352877,0.5141828751428911,0.03749907269962162,0.04513684488812428,31.287250162560483,39.75243
73641,332.0,0.5463101895411311,0.015859361279935702,0.015063776654605038,1.5207046332796934,-0.6634250804636549,0.6069844704547417,0.024522490300022702,0.09746242875066242,60.116478206666756,45.668015
74436,341.0,0.623862860017959,0.01930982679933377,0.011395380088511521,2.0385368082040114,-0.7593780160772359,0.5069527280344608,0.0471344091632229,0.043345955363486746,52.488117166375226,38.33744
74937,352.0,0.6089821852924935,0.0211213419114204,0.015781024629606944,2.0495453570063047,-0.6633082260642427,0.6432634994704689,0.06426399398980337,0.03320092413702678,31.152854865392555,39.795044
74997,336.0,0.5128261470196916,0.016065594092628803,0.023370311687694968,1.8829002255567457,-0.6307451907329913,0.5703894808381804,0.09578769651786707,0.04091742335850476,41.017005473108995,48.046013
76802,339.0,0.5407870217742483,0.019289264773621147,0.01936178481747341,2.149031080659402,-0.6656349472673357,0.6392659337094388,0.0642974362168418,0.045842230038287655,37.62071061562583,45.969208
78566,357.0,0.6018175350089839,0.018147700235090047,0.018673566608708725,1.86478139811464,-0.7558426383501775,0.6961322912627822,0.02304481998472984,0.06175823269235961,56.26509377351546,40.033722
80679,348.0,0.6308887306681663,0.019209338676604487,0.032153377000983245,1.703630276715855,-0.6638310740322255,0.5627394965555187,0.032060522198670824,0.05504505745035192,48.440537006532345,35.452564
80782,346.0,0.5269560862625985,0.022388307702622238,0.04442893501764466,1.638073190946689,-0.7279116100631657,0.5114163884991728,0.03311042956156793,0.08002731046566415,37.670542958063066,45.019127
84074,355.0,0.6207987768356472,0.01585534126393489,0.0004902306179717154,1.9851134876220076,-0.7471835855544668,0.5464705967121277,0.06888676680315456,0.03144084698361396,31.245509727005786,39.655434
85691,331.0,0.600639554032494,0.018678686929226505,0.038466499043912056,1.5712116311324582,-0.7424003622618798,0.5376171354229221,0.04533922843188661,0.05895445818179142,30.46480905375461,38.15237
85795,335.0,0.7192875448206285,0.022224553029429973,0.03869157849844152,1.5713555170218116,-0.6899052516029478,0.6999045246965001,0.024659321405715275,0.04333184435895339,40.26789480308075,26.158783
86955,347.0,0.5307733367184344,0.01999108549888195,0.022712293506055067,1.8007250042830192,-0.7191745556973785,0.6247052519620457,0.06601393696781271,0.055864388773955685,38.57375182828151,46.77764
88895,354.0,0.5181950762072749,0.018057673980079368,0.021323160425020152,2.1088488545216264,-0.6325995896618729,0.500448696697815,0.08274899838671385,0.039531731703823285,40.75907392327387,47.581593
89564,359.0,0.7048880911758884,0.015728955204145547,0.036747884841629615,1.5446164008721777,-0.7850914994374871,0.5664581937483422,0.050291048498022815,0.02783542633783629,19.26250263360518,27.6576
89878,341.0,0.5159682316002338,0.02031303680421881,0.011048405413435429,2.3748143122099057,-0.6031950853246565,0.5841134135898136,0.07988918952911649,0.042196093645155225,63.92968167595136,48.886917
90313,337.0,0.5140994870298663,0.016021635843775518,0.034919404108686984,1.8940815367600616,-0.7219827157224782,0.6644565656306516,0.045347952714705625,0.07135795548420007,63.08400658537254,46.870876
90910,336.0,0.6395364974156498,0.023625478784115625,0.03283267110593994,2.3769435272405204,-0.7301787007924633,0.6178549826286824,0.04006261680492719,0.034106544587232904,25.8873460107163,34.763123
93738,354.0,0.5871242466362477,0.022228387378169914,0.04664667225890267,2.295076689163984,-0.6107298342413695,0.6234320600819582,0.030322042684729045,0.04630846608749645,52.54289274410266,38.535572
95413,356.0,0.6025928009551199,0.02004018649029524,0.024538347066809785,1.9117626808867645,-0.6607477758658394,0.5244774531917242,0.09639963824610734,0.021837819315007317,51.71027537142453,39.500114
97304,330.0,0.7434349874305246,0.02266426004464093,0.01516546394088334,1.5012870123143458,-0.7833049371031836,0.5235172164723464,0.02072280306680169,0.04879410486433551,39.57594376967228,26.210308
98546,340.0,0.6137654467006037,0.01849756980764341,0.04334355417216456,1.9979101273626616,-0.6486458763432689,0.6936365665665195,0.06760452393178902,0.02885200955162267,28.019977347099708,36.342323
98825,335.0,0.5122282309697056,0.015846808041342676,0.002490352649205519,1.6239116670337697,-0.7500322250074507,0.6746499620086309,0.047951044310365336,0.08452278070758942,41.76283975358435,50.168663
99618,358.0,0.5053750676394061,0.015184396694581326,0.0239283585479238,1.8874469282357595,-0.7567212580306911,0.520132902552914,0.0802548705466011,0.0492842773306162,41.27039146931612,48.460747
99778,343.0,0.5441667186045882,0.02331668120717972,0.032260613628104035,2.055509316933388,-0.6560440177229031,0.6824713658131979,0.0970988459351138,0.0320962033064634,59.68485083098234,44.999
